"","Country","Code","index","score","year","measure"
"1","Aruba","ABW","EIU17VA","0.813","2017","VA"
"2","Afghanistan","AFG","EIU17VA","0.159","2017","VA"
"3","Angola","AGO","EIU17VA","0.306","2017","VA"
"4","Albania","ALB","EIU17VA","0.58","2017","VA"
"5","United Arab Emirates","ARE","EIU17VA","0.228","2017","VA"
"6","Argentina","ARG","EIU17VA","0.629","2017","VA"
"7","Armenia","ARM","EIU17VA","0.393","2017","VA"
"8","Australia","AUS","EIU17VA","0.861","2017","VA"
"9","Austria","AUT","EIU17VA","0.859","2017","VA"
"10","Azerbaijan","AZE","EIU17VA","0.195","2017","VA"
"11","Burundi","BDI","EIU17VA","0.242","2017","VA"
"12","Belgium","BEL","EIU17VA","0.827","2017","VA"
"13","Benin","BEN","EIU17VA","0.499","2017","VA"
"14","Burkina Faso","BFA","EIU17VA","0.425","2017","VA"
"15","Bangladesh","BGD","EIU17VA","0.365","2017","VA"
"16","Bulgaria","BGR","EIU17VA","0.633","2017","VA"
"17","Bahrain","BHR","EIU17VA","0.198","2017","VA"
"18","Bahamas, The","BHS","EIU17VA","0.625","2017","VA"
"19","Bosnia and Herzegovina","BIH","EIU17VA","0.4","2017","VA"
"20","Belarus","BLR","EIU17VA","0.188","2017","VA"
"21","Belize","BLZ","EIU17VA","0.625","2017","VA"
"22","Bolivia","BOL","EIU17VA","0.493","2017","VA"
"23","Brazil","BRA","EIU17VA","0.593","2017","VA"
"24","Barbados","BRB","EIU17VA","0.813","2017","VA"
"25","Brunei Darussalam","BRN","EIU17VA","0.438","2017","VA"
"26","Bhutan","BTN","EIU17VA","0.535","2017","VA"
"27","Botswana","BWA","EIU17VA","0.672","2017","VA"
"28","Central African Republic","CAF","EIU17VA","0.17","2017","VA"
"29","Canada","CAN","EIU17VA","0.895","2017","VA"
"30","Switzerland","CHE","EIU17VA","0.952","2017","VA"
"31","Chile","CHL","EIU17VA","0.767","2017","VA"
"32","China","CHN","EIU17VA","0.28","2017","VA"
"33","Côte d'Ivoire","CIV","EIU17VA","0.384","2017","VA"
"34","Cameroon","CMR","EIU17VA","0.337","2017","VA"
"35","Congo, Rep.","COG","EIU17VA","0.256","2017","VA"
"36","Colombia","COL","EIU17VA","0.584","2017","VA"
